trip_log_id,driver_id,vehicle_id,car_name,current_battery_pct,battery_capacity_kwh,current_speed_kmh,ac_status,route_type,outside_temperature_c,elevation_ahead,driver_efficiency_score,distance_to_destination_km,actual_remaining_range_km
RT_LOG_00494,USR_DRV_01,EV_03,Tata Punch,53.3,40,110.1,1,Highway,22.1,Uphill,0.98,13.1,101.2
RT_LOG_00495,USR_DRV_10,EV_06,Mahindra XUV 3XO EV,60,39.4,23.3,1,City,34.6,Uphill,0.72,26.6,135
RT_LOG_00496,USR_DRV_06,EV_07,MG Windsor,66.4,52.9,37.8,1,City,11.9,Flat,0.96,114,253.4
RT_LOG_00497,USR_DRV_06,EV_01,MG Windsor,34.4,52.9,34.9,0,City,18.7,Uphill,0.76,48.8,90.1
RT_LOG_00498,USR_DRV_01,EV_04,MG Windsor,92.2,52.9,92.8,1,Highway,38.5,Flat,0.76,138.9,221.4
RT_LOG_00499,USR_DRV_09,EV_05,Mahindra XUV 3XO EV,79.8,39.4,45.8,0,City,35.4,Downhill,0.9,24.2,383.4
RT_LOG_00500,USR_DRV_08,EV_07,MG Windsor,74.2,52.9,15.2,0,City,30.4,Downhill,0.96,53.3,388.5
RT_LOG_00501,USR_DRV_02,EV_09,Tata Punch,79,40,71,1,Highway,28.6,Flat,0.8,32.9,190.5
RT_LOG_00502,USR_DRV_06,EV_08,Mahindra XUV 3XO EV,70.4,39.4,76.7,1,Highway,9.2,Downhill,0.87,19.8,258.3
RT_LOG_00503,USR_DRV_09,EV_06,Mahindra XUV 3XO EV,34.4,39.4,95.8,0,Highway,7.6,Downhill,0.97,83.4,129.5
RT_LOG_00504,USR_DRV_01,EV_08,Mahindra XUV 3XO EV,91.3,39.4,19.2,0,City,8.2,Uphill,0.75,91.4,221.4
RT_LOG_00505,USR_DRV_08,EV_10,Tata Punch,42,40,106.8,0,Highway,41,Uphill,0.87,18.5,74.9
RT_LOG_00506,USR_DRV_08,EV_02,Tata Punch,51,40,91.2,0,Highway,10.3,Downhill,0.78,57.7,122.8
RT_LOG_00507,USR_DRV_06,EV_06,Mahindra XUV 3XO EV,50.8,39.4,17.6,0,City,18,Uphill,0.95,45.9,172.4
RT_LOG_00508,USR_DRV_10,EV_03,Tata Punch,55.7,40,106.8,0,Highway,17.1,Downhill,0.72,48.8,135
RT_LOG_00509,USR_DRV_10,EV_07,MG Windsor,31.5,52.9,36.9,1,City,19.2,Uphill,0.76,105.6,74.1
RT_LOG_00510,USR_DRV_07,EV_10,Tata Punch,80.9,40,21.9,0,City,32.4,Downhill,0.87,75.6,292.6
RT_LOG_00511,USR_DRV_08,EV_06,Mahindra XUV 3XO EV,60,39.4,77.9,1,Highway,7.6,Flat,0.91,91.5,196.7
RT_LOG_00512,USR_DRV_06,EV_08,Mahindra XUV 3XO EV,68,39.4,18.6,0,City,37.8,Downhill,0.94,114.8,332.5
RT_LOG_00513,USR_DRV_08,EV_09,Tata Punch,36.2,40,78.8,1,Highway,16.1,Downhill,0.79,141.8,99.5
RT_LOG_00514,USR_DRV_06,EV_02,Tata Punch,62.4,40,108.1,1,Highway,7.3,Downhill,0.99,5.1,162.5
RT_LOG_00515,USR_DRV_06,EV_02,Tata Punch,87.5,40,24.4,1,City,28.1,Downhill,0.81,60.3,260.1
RT_LOG_00516,USR_DRV_03,EV_08,Mahindra XUV 3XO EV,22.5,39.4,107.9,1,Highway,36.1,Flat,0.79,131.5,55.9
RT_LOG_00517,USR_DRV_01,EV_02,Tata Punch,68.4,40,43.9,1,City,29.3,Flat,0.73,98.1,158.7
RT_LOG_00518,USR_DRV_08,EV_10,Tata Punch,93.7,40,33.2,1,City,25.4,Uphill,0.82,37.7,183.2
RT_LOG_00519,USR_DRV_01,EV_10,Tata Punch,54.8,40,43.5,1,City,20.2,Downhill,0.87,9.9,172
RT_LOG_00520,USR_DRV_08,EV_06,Mahindra XUV 3XO EV,20.2,39.4,113.3,0,Highway,10.3,Downhill,0.86,129.6,73.5
RT_LOG_00521,USR_DRV_05,EV_08,Mahindra XUV 3XO EV,56.5,39.4,24.8,0,City,30.3,Downhill,0.94,50.3,289.8
RT_LOG_00522,USR_DRV_06,EV_09,Tata Punch,80.1,40,90.4,1,Highway,26.2,Uphill,0.83,144.3,130.5
RT_LOG_00523,USR_DRV_05,EV_03,Tata Punch,13.2,40,102.7,1,Highway,7.3,Uphill,0.87,88.1,20.6
RT_LOG_00524,USR_DRV_05,EV_10,Tata Punch,12.5,40,73.7,0,Highway,36.5,Uphill,0.78,94.3,22.7
RT_LOG_00525,USR_DRV_05,EV_01,MG Windsor,76.7,52.9,51.4,0,City,29.4,Uphill,0.94,42.9,256.1
RT_LOG_00526,USR_DRV_08,EV_03,Tata Punch,81.9,40,28.7,0,City,40.8,Downhill,0.98,27.4,304.9
RT_LOG_00527,USR_DRV_07,EV_07,MG Windsor,31.4,52.9,102.7,0,Highway,12.8,Downhill,0.95,12.9,125.2
RT_LOG_00528,USR_DRV_02,EV_01,MG Windsor,25.1,52.9,91.4,1,Highway,32.6,Downhill,0.77,104.1,73.5
RT_LOG_00529,USR_DRV_05,EV_03,Tata Punch,57.7,40,70.5,1,Highway,19.1,Uphill,0.99,104,127.3
RT_LOG_00530,USR_DRV_09,EV_06,Mahindra XUV 3XO EV,96.1,39.4,97.5,1,Highway,17.4,Uphill,0.94,42,231.6
RT_LOG_00531,USR_DRV_08,EV_04,MG Windsor,76.1,52.9,35.8,0,City,16.6,Flat,0.9,125.6,320
RT_LOG_00532,USR_DRV_02,EV_09,Tata Punch,19.4,40,85.8,1,Highway,14.3,Flat,0.71,18.3,44
RT_LOG_00533,USR_DRV_04,EV_10,Tata Punch,67.4,40,18.5,0,City,18.9,Downhill,0.87,145.2,246.7
RT_LOG_00534,USR_DRV_03,EV_05,Mahindra XUV 3XO EV,36.5,39.4,40.6,1,City,33.5,Downhill,0.97,116.6,167.9
RT_LOG_00535,USR_DRV_03,EV_02,Tata Punch,35,40,30.3,1,City,41.9,Uphill,0.99,43.4,74.3
RT_LOG_00536,USR_DRV_08,EV_04,MG Windsor,64.9,52.9,40.8,0,City,10.3,Uphill,0.77,98.3,166.7
RT_LOG_00537,USR_DRV_05,EV_02,Tata Punch,13.1,40,37.9,1,City,33.8,Flat,0.97,26.6,40.6
RT_LOG_00538,USR_DRV_01,EV_07,MG Windsor,34,52.9,110.7,0,Highway,24.1,Uphill,0.84,63.6,83.1
RT_LOG_00539,USR_DRV_02,EV_09,Tata Punch,30.3,40,112.9,1,Highway,9.5,Downhill,0.98,57,81.9
RT_LOG_00540,USR_DRV_07,EV_01,MG Windsor,66.9,52.9,29.6,1,City,8,Uphill,0.93,47,171.5
RT_LOG_00541,USR_DRV_09,EV_01,MG Windsor,97.1,52.9,27,1,City,38.2,Downhill,0.91,75.5,397.8
RT_LOG_00542,USR_DRV_08,EV_04,MG Windsor,22.6,52.9,16,0,City,23.1,Flat,0.94,98.3,100.2
RT_LOG_00543,USR_DRV_08,EV_01,MG Windsor,13.3,52.9,28.5,0,City,20,Flat,0.94,101.8,58.7
RT_LOG_00544,USR_DRV_09,EV_03,Tata Punch,76.7,40,52,0,City,32.2,Uphill,0.9,73.3,189.7
RT_LOG_00545,USR_DRV_01,EV_04,MG Windsor,73.1,52.9,15.6,0,City,38.5,Flat,0.84,29.7,271.2
RT_LOG_00546,USR_DRV_02,EV_02,Tata Punch,54.7,40,17.5,0,City,20.8,Downhill,0.9,52,207.9
RT_LOG_00547,USR_DRV_10,EV_09,Tata Punch,22.4,40,45.6,0,City,17.4,Flat,0.78,114.8,61.3
RT_LOG_00548,USR_DRV_06,EV_09,Tata Punch,24.9,40,52,0,City,9.9,Downhill,0.88,117.8,81.4
RT_LOG_00549,USR_DRV_08,EV_02,Tata Punch,10.6,40,52,1,City,20.4,Uphill,0.91,34.9,23.9
RT_LOG_00550,USR_DRV_09,EV_08,Mahindra XUV 3XO EV,47.1,39.4,39.4,0,City,27.1,Downhill,0.85,142.8,221.2
RT_LOG_00551,USR_DRV_05,EV_06,Mahindra XUV 3XO EV,47.7,39.4,22.7,0,City,27.9,Downhill,0.85,72.3,224
RT_LOG_00552,USR_DRV_04,EV_05,Mahindra XUV 3XO EV,14.8,39.4,46.9,1,City,23.4,Flat,0.9,11.3,57
RT_LOG_00553,USR_DRV_05,EV_04,MG Windsor,49.1,52.9,97.8,1,Highway,6.6,Downhill,0.72,82.9,117.3
RT_LOG_00554,USR_DRV_01,EV_08,Mahindra XUV 3XO EV,56.3,39.4,50.8,1,City,26.9,Uphill,0.83,113.3,150.1
RT_LOG_00555,USR_DRV_04,EV_02,Tata Punch,39.4,40,24.5,1,City,37.2,Uphill,0.97,15.7,87.1
RT_LOG_00556,USR_DRV_01,EV_07,MG Windsor,23,52.9,78,1,Highway,10,Downhill,0.76,57,72.1
RT_LOG_00557,USR_DRV_06,EV_03,Tata Punch,12.9,40,26.2,0,City,36.5,Uphill,0.83,115.2,26.1
RT_LOG_00558,USR_DRV_05,EV_10,Tata Punch,24.1,40,38.1,0,City,8.2,Downhill,0.85,149.4,77.2
RT_LOG_00559,USR_DRV_08,EV_05,Mahindra XUV 3XO EV,11.3,39.4,103.1,0,Highway,14.2,Uphill,0.87,134.3,28.8
RT_LOG_00560,USR_DRV_03,EV_10,Tata Punch,90.8,40,114.1,0,Highway,41.7,Downhill,0.93,9.9,257.3
RT_LOG_00561,USR_DRV_08,EV_02,Tata Punch,50.7,40,18.3,0,City,30.6,Uphill,0.98,24.2,133.8
RT_LOG_00562,USR_DRV_02,EV_01,MG Windsor,53.2,52.9,77.3,1,Highway,36.7,Downhill,0.88,146.6,202.5
RT_LOG_00563,USR_DRV_03,EV_07,MG Windsor,26.6,52.9,98.2,0,Highway,36.8,Flat,0.82,105.2,79.4
RT_LOG_00564,USR_DRV_05,EV_07,MG Windsor,77.8,52.9,46.5,0,City,28,Uphill,0.92,12.9,255.8
RT_LOG_00565,USR_DRV_06,EV_01,MG Windsor,20,52.9,90.9,0,Highway,18.5,Flat,0.89,107.2,68.3
RT_LOG_00566,USR_DRV_04,EV_03,Tata Punch,98.3,40,36.6,1,City,32.3,Downhill,0.96,106.9,346.4
RT_LOG_00567,USR_DRV_04,EV_06,Mahindra XUV 3XO EV,41.7,39.4,92.7,1,Highway,15.3,Flat,0.81,70.6,115.2
RT_LOG_00568,USR_DRV_02,EV_08,Mahindra XUV 3XO EV,73.9,39.4,90.3,1,Highway,34.6,Downhill,0.94,141.4,262.8
RT_LOG_00569,USR_DRV_08,EV_02,Tata Punch,17.2,40,26.5,0,City,9,Uphill,0.73,26.5,28.9
RT_LOG_00570,USR_DRV_04,EV_09,Tata Punch,95.7,40,26.7,0,City,22.5,Uphill,0.83,98.5,214.6
RT_LOG_00571,USR_DRV_02,EV_01,MG Windsor,88.5,52.9,48.4,1,City,20.2,Uphill,0.9,119.1,247.8
RT_LOG_00572,USR_DRV_09,EV_09,Tata Punch,50.1,40,95.5,1,Highway,11.4,Uphill,0.77,58.9,69.4
RT_LOG_00573,USR_DRV_01,EV_03,Tata Punch,41.8,40,113,0,Highway,31.3,Uphill,0.75,30.4,70.2
RT_LOG_00574,USR_DRV_03,EV_03,Tata Punch,31.4,40,54.8,0,City,21.3,Uphill,0.76,86.6,62
RT_LOG_00575,USR_DRV_06,EV_06,Mahindra XUV 3XO EV,23.3,39.4,94.3,0,Highway,24.7,Flat,0.98,63.7,88.5
RT_LOG_00576,USR_DRV_03,EV_08,Mahindra XUV 3XO EV,93.5,39.4,15.2,1,City,28.9,Uphill,0.84,47,250.9
RT_LOG_00577,USR_DRV_10,EV_03,Tata Punch,82,40,85.2,0,Highway,32.1,Flat,0.74,84.9,208
RT_LOG_00578,USR_DRV_07,EV_10,Tata Punch,85.7,40,86.1,1,Highway,7,Downhill,0.76,81.3,201.8
RT_LOG_00579,USR_DRV_05,EV_04,MG Windsor,12,52.9,100.5,0,Highway,41.1,Uphill,0.76,51.1,24.4
RT_LOG_00580,USR_DRV_01,EV_06,Mahindra XUV 3XO EV,45.8,39.4,86.6,1,Highway,5.5,Uphill,0.81,146.7,98
RT_LOG_00581,USR_DRV_02,EV_04,MG Windsor,75.5,52.9,103.4,1,Highway,34.7,Uphill,0.75,110.6,141.2
RT_LOG_00582,USR_DRV_07,EV_03,Tata Punch,85.2,40,20.7,1,City,22.6,Downhill,1,14.6,315.1
RT_LOG_00583,USR_DRV_07,EV_02,Tata Punch,10.6,40,88.7,1,Highway,31.3,Flat,0.76,125.7,23.2
RT_LOG_00584,USR_DRV_08,EV_01,MG Windsor,84.1,52.9,107.6,1,Highway,23.3,Downhill,0.84,8.9,269.9
RT_LOG_00585,USR_DRV_05,EV_05,Mahindra XUV 3XO EV,96,39.4,75.6,1,Highway,20.4,Uphill,0.97,98.5,277.4
RT_LOG_00586,USR_DRV_05,EV_08,Mahindra XUV 3XO EV,99.5,39.4,39,1,City,26.5,Downhill,0.83,42.4,401.3
RT_LOG_00587,USR_DRV_02,EV_06,Mahindra XUV 3XO EV,56.1,39.4,48.8,0,City,26.5,Flat,0.8,132.4,212.7
RT_LOG_00588,USR_DRV_03,EV_01,MG Windsor,34.5,52.9,98.6,1,Highway,6.8,Uphill,0.86,140.8,65.6
RT_LOG_00589,USR_DRV_03,EV_02,Tata Punch,63.9,40,36.7,1,City,35.6,Downhill,0.94,44.4,213.5
RT_LOG_00590,USR_DRV_06,EV_02,Tata Punch,58.1,40,107,0,Highway,10.1,Uphill,0.81,75.3,94.9
RT_LOG_00591,USR_DRV_03,EV_02,Tata Punch,29.6,40,48.3,0,City,20.4,Flat,0.73,24,75.4
RT_LOG_00592,USR_DRV_06,EV_05,Mahindra XUV 3XO EV,72.2,39.4,47.7,1,City,11.4,Uphill,0.71,123.1,151.6
RT_LOG_00593,USR_DRV_03,EV_04,MG Windsor,37.7,52.9,20.2,0,City,20.7,Flat,0.72,117.3,129.5
RT_LOG_00594,USR_DRV_01,EV_04,MG Windsor,19.7,52.9,33.8,1,City,6.6,Uphill,0.9,114.4,49.9
RT_LOG_00595,USR_DRV_10,EV_04,MG Windsor,62.9,52.9,22.4,1,City,6.1,Flat,0.95,141.6,217.5
RT_LOG_00596,USR_DRV_06,EV_06,Mahindra XUV 3XO EV,24.5,39.4,35.2,0,City,8.7,Downhill,0.93,81.7,114.9
RT_LOG_00597,USR_DRV_05,EV_03,Tata Punch,91.1,40,53.9,0,City,39.2,Downhill,0.96,73.8,339.3
RT_LOG_00598,USR_DRV_03,EV_08,Mahindra XUV 3XO EV,70.6,39.4,22.2,1,City,41.3,Uphill,0.76,38,151.5
RT_LOG_00599,USR_DRV_06,EV_02,Tata Punch,51.9,40,34.8,1,City,31.1,Downhill,0.92,16.9,175
RT_LOG_00600,USR_DRV_07,EV_05,Mahindra XUV 3XO EV,51.1,39.4,100.9,1,Highway,13.4,Uphill,0.79,129,98.9
RT_LOG_00601,USR_DRV_02,EV_08,Mahindra XUV 3XO EV,94.5,39.4,78.1,1,Highway,29.9,Uphill,0.83,100.5,233.6
RT_LOG_00602,USR_DRV_03,EV_07,MG Windsor,46.1,52.9,44.7,0,City,7.4,Flat,0.8,91.3,157
RT_LOG_00603,USR_DRV_02,EV_04,MG Windsor,85.4,52.9,82.5,1,Highway,33,Downhill,0.98,56.6,377.5
RT_LOG_00604,USR_DRV_07,EV_08,Mahindra XUV 3XO EV,56,39.4,45.7,0,City,9.5,Uphill,0.85,96.1,154.6
RT_LOG_00605,USR_DRV_02,EV_01,MG Windsor,84.7,52.9,100.5,0,Highway,19.2,Downhill,0.8,48.9,298.1
RT_LOG_00606,USR_DRV_02,EV_09,Tata Punch,79.1,40,79.1,1,Highway,23.1,Uphill,0.86,122.4,155.1
RT_LOG_00607,USR_DRV_01,EV_01,MG Windsor,99.2,52.9,30.3,1,City,36.6,Uphill,0.84,9.8,247.7
RT_LOG_00608,USR_DRV_05,EV_03,Tata Punch,54.2,40,27.5,1,City,23,Flat,0.87,76.1,150.6
RT_LOG_00609,USR_DRV_09,EV_10,Tata Punch,52.3,40,35.3,1,City,14.7,Downhill,0.99,94.5,188.1
RT_LOG_00610,USR_DRV_05,EV_06,Mahindra XUV 3XO EV,15.5,39.4,20.1,1,City,17.9,Downhill,0.88,116,66.8
RT_LOG_00611,USR_DRV_07,EV_02,Tata Punch,48.5,40,88.5,0,Highway,29.5,Flat,0.77,50.3,126.3
RT_LOG_00612,USR_DRV_02,EV_05,Mahindra XUV 3XO EV,20.3,39.4,15.8,1,City,6.4,Downhill,0.96,87.4,84.7
RT_LOG_00613,USR_DRV_05,EV_01,MG Windsor,72.6,52.9,54.4,1,City,26.1,Uphill,0.87,122.2,194.1
RT_LOG_00614,USR_DRV_04,EV_06,Mahindra XUV 3XO EV,54.7,39.4,77.5,1,Highway,18.4,Uphill,0.76,97.1,128
RT_LOG_00615,USR_DRV_02,EV_09,Tata Punch,29.3,40,72.1,1,Highway,34.8,Downhill,0.92,18.3,93.5
RT_LOG_00616,USR_DRV_02,EV_10,Tata Punch,40.3,40,37.7,1,City,20.8,Uphill,0.94,99.5,89.4
RT_LOG_00617,USR_DRV_05,EV_07,MG Windsor,69.7,52.9,79,1,Highway,14.3,Downhill,0.84,115.7,261.3
RT_LOG_00618,USR_DRV_01,EV_09,Tata Punch,87.6,40,79.6,1,Highway,14.9,Downhill,0.86,94.1,264.2
RT_LOG_00619,USR_DRV_07,EV_10,Tata Punch,75.4,40,35.9,1,City,22.1,Flat,0.75,104.4,179.1
RT_LOG_00620,USR_DRV_07,EV_07,MG Windsor,38.7,52.9,40.4,1,City,14.9,Uphill,0.89,42.2,107.6
RT_LOG_00621,USR_DRV_07,EV_04,MG Windsor,20.2,52.9,16.1,1,City,22.2,Downhill,1,66.2,98.8
RT_LOG_00622,USR_DRV_04,EV_03,Tata Punch,34.5,40,25.3,1,City,29.4,Flat,0.89,11.1,99.2
RT_LOG_00623,USR_DRV_01,EV_01,MG Windsor,87.4,52.9,27.6,1,City,37.1,Uphill,0.97,102.4,252.7
RT_LOG_00624,USR_DRV_07,EV_03,Tata Punch,31.2,40,35.9,1,City,23.4,Flat,0.77,22.7,78.4
RT_LOG_00625,USR_DRV_06,EV_10,Tata Punch,76.4,40,52.4,0,City,10.3,Flat,0.76,44.8,195
RT_LOG_00626,USR_DRV_10,EV_01,MG Windsor,54.1,52.9,101.5,0,Highway,16.7,Uphill,0.84,40.7,128.7
RT_LOG_00627,USR_DRV_03,EV_06,Mahindra XUV 3XO EV,52.8,39.4,107,0,Highway,28.9,Downhill,0.71,112.2,168.9
RT_LOG_00628,USR_DRV_01,EV_04,MG Windsor,32.8,52.9,83.9,1,Highway,38.4,Downhill,0.74,130.7,105.4
RT_LOG_00629,USR_DRV_07,EV_01,MG Windsor,91.9,52.9,111.7,1,Highway,16.1,Flat,0.79,129.6,241.8
RT_LOG_00630,USR_DRV_08,EV_06,Mahindra XUV 3XO EV,89.2,39.4,105.5,1,Highway,37.1,Uphill,0.84,64.9,183.9
RT_LOG_00631,USR_DRV_07,EV_02,Tata Punch,84.2,40,92.8,1,Highway,20.6,Downhill,0.94,112,234.6
RT_LOG_00632,USR_DRV_01,EV_01,MG Windsor,67.7,52.9,40.2,0,City,5.1,Flat,0.89,50.5,239.4
RT_LOG_00633,USR_DRV_03,EV_04,MG Windsor,56.5,52.9,48.9,1,City,34.3,Uphill,0.84,131.7,142.1
RT_LOG_00634,USR_DRV_03,EV_10,Tata Punch,84.4,40,78.9,1,Highway,18.6,Uphill,0.96,142,186.8
RT_LOG_00635,USR_DRV_04,EV_01,MG Windsor,95.3,52.9,51.3,1,City,12.3,Downhill,0.96,12.2,419.5
RT_LOG_00636,USR_DRV_10,EV_05,Mahindra XUV 3XO EV,23.4,39.4,77.7,0,Highway,5.5,Downhill,0.83,138.4,87.1
RT_LOG_00637,USR_DRV_08,EV_02,Tata Punch,30.2,40,22.6,1,City,15.7,Uphill,0.81,67.5,56.7
RT_LOG_00638,USR_DRV_04,EV_05,Mahindra XUV 3XO EV,75.4,39.4,31.7,1,City,34.3,Flat,0.79,43,245.9
RT_LOG_00639,USR_DRV_04,EV_06,Mahindra XUV 3XO EV,62.5,39.4,73.9,1,Highway,9.9,Uphill,0.99,62.6,170.2
RT_LOG_00640,USR_DRV_07,EV_07,MG Windsor,76.2,52.9,73.3,0,Highway,6.9,Flat,0.84,56.4,253.1
RT_LOG_00641,USR_DRV_10,EV_01,MG Windsor,10.5,52.9,83.6,1,Highway,29.8,Flat,0.99,86.1,41.6
RT_LOG_00642,USR_DRV_05,EV_03,Tata Punch,55.3,40,109.5,0,Highway,8.3,Downhill,0.86,25.6,142
RT_LOG_00643,USR_DRV_01,EV_03,Tata Punch,54.9,40,103.7,1,Highway,15.5,Uphill,0.88,115.4,92.1
RT_LOG_00644,USR_DRV_06,EV_07,MG Windsor,90.3,52.9,103.2,1,Highway,33.3,Flat,0.87,138.8,261.2
RT_LOG_00645,USR_DRV_08,EV_01,MG Windsor,27,52.9,24.2,0,City,22.4,Flat,0.91,68.3,118.8
RT_LOG_00646,USR_DRV_08,EV_01,MG Windsor,49.7,52.9,90.6,0,Highway,36.3,Flat,0.74,18.6,136.5
RT_LOG_00647,USR_DRV_03,EV_03,Tata Punch,77.5,40,95.3,0,Highway,26.6,Flat,0.86,87.8,194.9
RT_LOG_00648,USR_DRV_02,EV_04,MG Windsor,79.1,52.9,50.5,0,City,15.5,Downhill,0.74,59.2,319.9
RT_LOG_00649,USR_DRV_02,EV_06,Mahindra XUV 3XO EV,23.8,39.4,33.4,1,City,21.8,Uphill,0.88,5.8,69
RT_LOG_00650,USR_DRV_10,EV_08,Mahindra XUV 3XO EV,39.2,39.4,23.5,0,City,34.7,Uphill,0.8,13.1,107
RT_LOG_00651,USR_DRV_10,EV_07,MG Windsor,18.3,52.9,78,1,Highway,8.3,Flat,0.75,118,47.5
RT_LOG_00652,USR_DRV_03,EV_02,Tata Punch,36.9,40,103.1,1,Highway,38.4,Downhill,0.74,101.5,77.8
RT_LOG_00653,USR_DRV_09,EV_04,MG Windsor,54.1,52.9,91.4,1,Highway,8.3,Uphill,0.94,94,114.8
RT_LOG_00654,USR_DRV_07,EV_02,Tata Punch,13.6,40,113.8,0,Highway,29,Downhill,0.75,76.8,35.2
RT_LOG_00655,USR_DRV_09,EV_02,Tata Punch,36.2,40,73.6,1,Highway,16.1,Flat,0.91,48.6,98.5
RT_LOG_00656,USR_DRV_07,EV_05,Mahindra XUV 3XO EV,61.2,39.4,51.7,0,City,23.9,Uphill,0.73,100.8,160.8
RT_LOG_00657,USR_DRV_05,EV_06,Mahindra XUV 3XO EV,32.9,39.4,45.7,0,City,9.2,Downhill,0.84,119,141
RT_LOG_00658,USR_DRV_01,EV_02,Tata Punch,47.5,40,84.1,1,Highway,33,Uphill,0.89,43.4,98.1
RT_LOG_00659,USR_DRV_03,EV_04,MG Windsor,26.7,52.9,109.2,0,Highway,21.1,Flat,0.7,21.9,69.4
RT_LOG_00660,USR_DRV_08,EV_08,Mahindra XUV 3XO EV,72.3,39.4,83.6,1,Highway,30.6,Downhill,0.9,121.7,297.8
RT_LOG_00661,USR_DRV_03,EV_01,MG Windsor,27.2,52.9,42.8,0,City,36.8,Flat,0.84,26,101
RT_LOG_00662,USR_DRV_09,EV_04,MG Windsor,17.7,52.9,76.7,1,Highway,5.8,Flat,0.97,112.1,58.1
RT_LOG_00663,USR_DRV_08,EV_08,Mahindra XUV 3XO EV,11.8,39.4,96.3,0,Highway,15.9,Uphill,0.72,6.1,25.5
RT_LOG_00664,USR_DRV_07,EV_07,MG Windsor,86.4,52.9,71.7,1,Highway,23,Downhill,0.92,140.6,363.6
RT_LOG_00665,USR_DRV_08,EV_04,MG Windsor,74.3,52.9,31.9,1,City,25.5,Uphill,0.97,65.5,224.1
RT_LOG_00666,USR_DRV_08,EV_10,Tata Punch,94.5,40,90.2,1,Highway,5.8,Uphill,0.92,73,144.7
RT_LOG_00667,USR_DRV_09,EV_04,MG Windsor,62.9,52.9,111.5,1,Highway,9.9,Uphill,0.92,61.6,134.1
RT_LOG_00668,USR_DRV_06,EV_08,Mahindra XUV 3XO EV,82,39.4,39.9,1,City,30.6,Flat,0.9,23.7,309.1
RT_LOG_00669,USR_DRV_10,EV_08,Mahindra XUV 3XO EV,19.1,39.4,112.4,1,Highway,16.2,Flat,0.87,149.9,55.8
RT_LOG_00670,USR_DRV_05,EV_06,Mahindra XUV 3XO EV,70.9,39.4,48.1,0,City,34.9,Uphill,0.83,94.5,202.9
RT_LOG_00671,USR_DRV_04,EV_08,Mahindra XUV 3XO EV,33.2,39.4,105.3,0,Highway,33.5,Downhill,0.78,26.9,114.8
RT_LOG_00672,USR_DRV_09,EV_10,Tata Punch,70.3,40,52.1,1,City,34.6,Flat,0.99,118.3,216.8
RT_LOG_00673,USR_DRV_02,EV_09,Tata Punch,13.8,40,21.7,0,City,37.2,Uphill,0.75,47.4,26.3
RT_LOG_00674,USR_DRV_09,EV_08,Mahindra XUV 3XO EV,75.9,39.4,21.2,1,City,17.4,Flat,0.74,34.3,239.5
RT_LOG_00675,USR_DRV_01,EV_04,MG Windsor,85.1,52.9,85.4,0,Highway,8.2,Uphill,0.91,65.2,235
RT_LOG_00676,USR_DRV_04,EV_03,Tata Punch,77.8,40,105.4,0,Highway,34.7,Uphill,0.98,135.2,165.9
RT_LOG_00677,USR_DRV_09,EV_06,Mahindra XUV 3XO EV,94.9,39.4,76.6,0,Highway,31.6,Downhill,0.98,17.3,486.6
RT_LOG_00678,USR_DRV_03,EV_07,MG Windsor,15.5,52.9,41.4,0,City,38.4,Flat,0.99,147.1,69.5
RT_LOG_00679,USR_DRV_09,EV_05,Mahindra XUV 3XO EV,47.7,39.4,102.5,1,Highway,38.6,Flat,0.95,135.5,145
RT_LOG_00680,USR_DRV_03,EV_07,MG Windsor,50.2,52.9,50.5,1,City,30.8,Downhill,0.82,33.6,195.2
RT_LOG_00681,USR_DRV_01,EV_09,Tata Punch,40.1,40,35.8,1,City,12.9,Downhill,0.87,80.6,125.4
RT_LOG_00682,USR_DRV_03,EV_01,MG Windsor,12.5,52.9,80.9,1,Highway,31.9,Downhill,0.73,13.7,40.7
RT_LOG_00683,USR_DRV_09,EV_06,Mahindra XUV 3XO EV,21.1,39.4,32.9,0,City,21.8,Flat,0.94,148.4,95.4
RT_LOG_00684,USR_DRV_09,EV_10,Tata Punch,31,40,82.8,0,Highway,31.4,Downhill,0.92,20.3,113.3
RT_LOG_00685,USR_DRV_04,EV_06,Mahindra XUV 3XO EV,50.9,39.4,43.5,1,City,8,Flat,0.83,23.9,157.6
RT_LOG_00686,USR_DRV_02,EV_06,Mahindra XUV 3XO EV,70.9,39.4,96.5,1,Highway,37.3,Downhill,0.85,66.4,223.5
RT_LOG_00687,USR_DRV_08,EV_07,MG Windsor,84.1,52.9,35.2,1,City,31.3,Flat,0.99,79.4,345.6
RT_LOG_00688,USR_DRV_04,EV_08,Mahindra XUV 3XO EV,52.6,39.4,52.8,1,City,39.1,Flat,0.88,64.2,178.9
RT_LOG_00689,USR_DRV_10,EV_05,Mahindra XUV 3XO EV,13.6,39.4,19.7,1,City,41.7,Uphill,0.79,9.1,28.5
RT_LOG_00690,USR_DRV_10,EV_07,MG Windsor,14.4,52.9,110,0,Highway,11.8,Downhill,0.85,22.7,50.2
RT_LOG_00691,USR_DRV_01,EV_07,MG Windsor,53.3,52.9,95.5,1,Highway,33.9,Uphill,0.95,125.9,122.9
RT_LOG_00692,USR_DRV_03,EV_09,Tata Punch,67.3,40,100,0,Highway,37.1,Uphill,0.73,95.6,103.3
RT_LOG_00693,USR_DRV_07,EV_04,MG Windsor,91,52.9,94.3,1,Highway,32.2,Downhill,0.73,29,253.2
