vehicle_id,driver_id,trip_id,manufacturer,car_model,manufacturing_year,vehicle_age_years,vehicle_weight_kg,battery_capacity_kwh,max_range_km,motor_power_kw,max_power_bhp,odometer_km,current_battery_percent,state_of_charge_soc,state_of_health_soh,battery_voltage,battery_temperature_c,battery_cycle_count,charging_status,charging_type,charging_power_kw,charging_duration_min,regenerative_braking_kwh,energy_consumed_kwh,energy_efficiency_wh_per_km,estimated_remaining_range_km,current_speed_kmph,average_speed_kmph,acceleration_rate,harsh_braking_count,sharp_turn_count,idle_time_minutes,brake_usage_frequency,driving_mode,driver_behavior_score,cruise_control_usage,trip_distance_km,trip_duration_min,start_city,destination_city,road_type,traffic_level,elevation_gain_m,avg_gradient_percent,stops_count,route_risk_score,outside_temperature_c,humidity_percent,weather_condition,wind_speed_kmph,road_condition,air_conditioning_usage,heater_usage,season,maintenance_status,maintenance_required,last_service_days,tire_pressure_psi,brake_health_percent,motor_temperature_c,inverter_temperature_c,error_codes_count,downtime_hours,in_garage_or_running,timestamp,hour,day_of_week,weekend_flag,month,quarter,trip_feasible,failure_risk_score,charging_time_remaining_min,anomaly_flag
EV_0006,DRV_009,TRIP_001272,Mahindra,XUV BXO EV,2022,4,1400,40.0,456,100.0,148.0,152996.87,99.66,99.66,89.2,756.7,19.4,699,0,Slow AC,4.49,534.52,8.79,1.03,126.56,646.34,38.27,34.95,7.16,0,7,9.14,0.37,Eco,68.02,0,8.16,14.01,Delhi,Kochi,City,Medium,2165.71,3.2,31,6.48,10.63,71.88,Sunny,49.65,Good,0,1,Monsoon,Good,0,189,25.01,92.0,31.48,25.59,2,67.24,Running,2026-08-09 23:29:25,23,Sunday,1,8,3,1,8.2,1.82,0
EV_0017,DRV_007,TRIP_001273,Tata,Punch EV,2019,7,1300,40.0,350,95.0,127.0,13176.64,56.57,56.57,78.23,382.39,20.0,1942,0,Fast AC,16.21,148.06,11.39,15.43,162.98,218.67,98.94,92.09,5.69,1,12,17.66,0.18,Eco,62.93,1,94.69,61.69,Delhi,Delhi,Highway,Medium,442.02,5.09,2,28.63,14.72,66.09,Sunny,42.86,Good,0,1,Monsoon,Warning,0,200,34.61,84.5,30.42,28.19,10,140.72,Running,2025-08-08 03:47:23,3,Friday,0,8,3,1,20.32,64.3,0
EV_0012,DRV_005,TRIP_001274,Tata,Punch EV,2023,3,1300,40.0,350,95.0,127.0,247312.57,51.19,51.19,88.23,545.04,38.93,1442,0,Slow AC,6.06,396.04,4.58,7.37,124.14,259.78,28.93,27.91,6.13,17,5,70.49,0.16,Normal,40.11,0,59.34,127.57,Kochi,Hyderabad,City,High,533.82,8.89,23,46.05,34.27,87.94,Sunny,24.62,Good,1,0,Winter,Good,0,12,35.5,68.5,52.3,42.29,3,9.71,Running,2025-02-13 06:47:36,6,Thursday,0,2,1,1,14.57,193.31,0
EV_0016,DRV_007,TRIP_001275,Tata,Punch EV,2026,0,1300,40.0,350,95.0,127.0,212932.71,58.27,58.27,90.37,553.69,14.5,2408,0,Slow AC,5.77,415.94,14.75,56.19,100.93,363.72,16.91,15.21,1.94,16,0,13.24,0.46,Normal,62.18,0,556.72,2196.13,Delhi,Delhi,City,Medium,1418.01,5.22,19,77.89,9.63,50.43,Sunny,30.77,Good,0,1,Winter,Good,0,189,39.87,76.0,31.49,23.18,1,109.45,Running,2025-11-12 14:58:15,14,Wednesday,0,11,4,0,9.16,173.57,0
EV_0017,DRV_009,TRIP_001276,Tata,Punch EV,2025,1,1300,40.0,350,95.0,127.0,35530.41,87.97,87.97,87.81,779.42,35.13,2548,0,Slow AC,5.14,466.93,7.36,10.07,154.25,359.29,71.04,51.93,2.22,1,10,4.47,0.75,Normal,76.34,0,65.29,75.44,Pune,Mumbai,Mixed,Low,898.06,4.94,0,76.92,29.94,67.0,Sunny,50.75,Good,0,0,Monsoon,Good,0,352,26.59,96.5,48.76,47.98,4,57.89,Running,2025-07-02 10:01:41,10,Wednesday,0,7,3,1,7.42,56.17,0
EV_0010,DRV_004,TRIP_001277,Tata,Curvv EV,2021,5,1500,55.0,502,123.0,165.0,51173.62,14.42,14.42,80.22,786.79,45.49,2205,1,Slow AC,6.35,519.69,13.2,2.24,138.69,93.95,24.08,20.34,4.73,8,10,8.59,0.82,Eco,54.81,0,16.16,47.67,Hyderabad,Pune,City,Medium,1440.58,10.51,12,71.47,39.8,63.86,Stormy,10.92,Damaged,1,0,Monsoon,Good,0,114,33.42,78.0,63.64,53.7,6,159.07,Running,2025-07-29 07:52:09,7,Tuesday,0,7,3,1,17.45,444.75,0
EV_0004,DRV_002,TRIP_001278,Tata,Punch EV,2019,7,1300,40.0,350,95.0,127.0,110307.05,55.42,55.42,76.88,726.92,37.71,2279,0,Fast AC,18.8,127.66,13.76,7.84,135.54,257.6,44.33,33.14,3.36,1,6,81.71,0.96,Sport,78.92,0,57.87,104.77,Coimbatore,Coimbatore,Mixed,High,891.65,5.19,1,9.44,34.2,52.68,Stormy,43.56,Damaged,1,0,Summer,Good,0,47,39.22,84.5,54.87,48.62,9,75.28,Running,2025-04-07 21:50:24,21,Monday,0,4,2,1,19.91,56.91,0
EV_0007,DRV_008,TRIP_001279,MG,ZS EV,2021,5,1540,50.3,461,129.0,174.33,73711.56,44.36,44.36,89.16,465.58,39.49,210,0,Slow AC,6.94,434.87,1.6,0.57,172.11,213.87,47.93,44.2,1.52,13,1,5.89,0.33,Sport,67.94,0,3.3,4.48,Kochi,Pune,City,Medium,774.94,5.07,9,20.52,34.44,89.0,Foggy,54.35,Wet,1,0,Monsoon,Good,0,314,28.5,70.5,53.67,54.13,1,120.96,Running,2025-08-10 04:54:16,4,Sunday,1,8,3,1,13.34,241.96,0
EV_0016,DRV_006,TRIP_001280,Tata,Curvv EV,2026,0,1500,55.0,502,123.0,165.0,243694.52,99.35,99.35,88.0,573.39,31.08,3000,0,DC Fast,36.97,89.26,2.04,0.27,180.58,497.14,93.03,82.54,1.85,16,0,14.32,0.85,Eco,62.45,1,1.52,1.1,Coimbatore,Kochi,Highway,Medium,1244.92,7.86,0,82.17,23.9,75.86,Rainy,4.25,Wet,0,0,Winter,Good,0,107,26.34,76.0,42.06,35.01,2,165.85,Running,2026-02-03 03:28:12,3,Tuesday,0,2,1,1,10.5,0.58,0
EV_0001,DRV_010,TRIP_001281,Tata,Harrier EV,2026,0,2300,75.0,622,175.0,390.0,229029.84,61.5,61.5,97.71,412.76,37.29,573,0,Fast AC,11.82,380.71,9.28,2.61,197.87,347.98,34.62,34.36,0.84,19,0,9.94,0.11,Normal,59.48,0,13.18,23.02,Kochi,Bangalore,City,Medium,853.69,4.68,20,85.85,30.35,94.45,Sunny,20.88,Good,1,0,Summer,Good,0,171,36.83,71.5,53.2,49.32,6,38.48,Running,2025-04-20 12:10:55,12,Sunday,1,4,2,1,12.2,146.57,0
EV_0016,DRV_005,TRIP_001282,MG,ZS EV,2018,8,1540,50.3,461,129.0,174.33,151396.7,78.8,78.8,73.63,404.93,26.46,2593,0,DC Fast,253.13,11.92,11.57,2.46,176.96,369.51,75.11,65.31,7.75,6,12,44.08,0.14,Normal,46.75,0,13.91,12.78,Bangalore,Kochi,Mixed,High,1764.46,1.02,2,0.8,18.16,63.38,Sunny,37.89,Good,0,0,Winter,Warning,0,178,28.82,75.0,32.54,36.86,9,0.65,Running,2025-10-18 21:42:08,21,Saturday,1,10,4,1,23.59,2.53,0
EV_0002,DRV_002,TRIP_001283,Mahindra,XUV BXO EV,2026,0,1400,40.0,456,100.0,148.0,191124.68,9.8,9.8,89.33,431.7,25.63,2668,1,Slow AC,6.52,368.1,1.05,6.11,127.0,63.34,39.34,38.73,7.55,18,9,88.83,0.66,Eco,27.85,0,48.12,74.55,Bangalore,Bangalore,City,High,2205.3,12.41,11,32.01,22.19,52.04,Sunny,44.03,Good,0,0,Winter,Good,0,150,27.72,73.0,32.9,35.71,8,17.15,Running,2025-11-15 21:58:47,21,Saturday,1,11,4,1,15.42,332.03,0
EV_0013,DRV_009,TRIP_001284,MG,Windsor EV,2024,2,1800,52.9,449,100.0,134.0,226790.97,59.21,59.21,92.61,484.25,36.52,847,0,Fast AC,17.74,178.92,9.59,37.99,171.89,278.4,58.58,54.99,4.89,5,5,18.36,0.84,Sport,67.83,0,221.04,241.18,Chennai,Mumbai,Mixed,Medium,677.91,0.86,1,23.76,31.6,67.45,Rainy,2.87,Wet,1,0,Summer,Good,0,309,31.8,88.5,54.18,42.61,9,56.14,Garage,2026-05-04 12:29:11,12,Monday,0,5,2,1,12.47,72.98,0
EV_0003,DRV_004,TRIP_001285,MG,Windsor EV,2024,2,1800,52.9,449,100.0,134.0,114950.54,53.16,53.16,94.54,428.37,36.05,364,0,Fast AC,19.28,164.63,5.66,102.77,198.81,216.11,104.61,98.27,0.62,2,8,4.26,0.61,Normal,82.14,1,516.92,315.61,Pune,Pune,Highway,Low,2303.43,7.95,0,3.15,23.85,51.89,Sunny,56.34,Good,0,0,Summer,Good,0,67,32.05,93.0,45.04,46.13,4,156.92,Running,2026-04-08 10:00:47,10,Wednesday,0,4,2,0,7.11,77.11,0
EV_0014,DRV_001,TRIP_001286,Tata,Curvv EV,2021,5,1500,55.0,502,123.0,165.0,82035.08,13.19,13.19,81.12,554.01,44.91,2066,1,Slow AC,3.09,1067.96,11.66,8.12,200.08,59.57,101.98,97.87,7.87,12,13,11.75,0.35,Normal,32.89,1,40.6,24.89,Chennai,Pune,Highway,Medium,1796.39,14.12,3,77.96,38.06,75.77,Sunny,45.55,Good,1,0,Winter,Good,0,266,38.3,72.0,53.66,50.77,0,86.52,Garage,2026-01-11 22:57:18,22,Sunday,1,1,1,1,14.22,927.1,0
EV_0004,DRV_003,TRIP_001287,Tata,Curvv EV,2018,8,1500,55.0,502,123.0,165.0,116856.03,52.21,52.21,74.48,661.92,49.09,2180,0,Fast AC,10.32,319.77,5.06,34.21,181.72,259.61,76.67,62.65,4.82,6,11,13.78,0.07,Eco,57.04,1,188.25,180.29,Chennai,Hyderabad,Highway,Medium,718.12,12.84,3,41.95,39.0,70.36,Sunny,41.85,Good,1,0,Summer,Warning,0,312,25.87,75.0,56.59,61.36,6,184.15,Running,2026-03-13 00:39:15,0,Friday,0,3,1,1,21.13,152.82,0
EV_0001,DRV_007,TRIP_001288,MG,Windsor EV,2021,5,1800,52.9,449,100.0,134.0,112748.2,43.44,43.44,88.16,612.74,22.75,459,0,Slow AC,4.57,694.53,0.47,20.55,165.04,212.73,47.57,33.44,1.66,5,6,3.98,0.24,Normal,76.02,0,124.53,223.44,Bangalore,Pune,City,Low,1900.87,8.46,21,66.55,18.48,50.18,Sunny,44.45,Good,0,0,Monsoon,Good,0,183,34.48,82.5,37.2,26.56,5,82.08,Running,2025-06-07 16:35:20,16,Saturday,1,6,2,1,13.59,392.83,0
EV_0014,DRV_009,TRIP_001289,Tata,Punch EV,2025,1,1300,40.0,350,95.0,127.0,94305.27,43.19,43.19,87.54,349.6,42.15,2615,0,Slow AC,5.21,460.65,14.24,1.63,141.48,192.32,55.94,45.93,5.15,15,13,89.92,0.28,Normal,35.05,0,11.53,15.06,Kochi,Bangalore,City,High,967.32,3.36,40,12.42,32.6,73.79,Foggy,42.0,Wet,1,0,Monsoon,Good,0,74,28.24,75.5,50.68,46.75,10,145.57,Running,2026-07-18 06:40:39,6,Saturday,1,7,3,1,17.24,261.7,0
EV_0017,DRV_005,TRIP_001290,Mahindra,BE 6,2022,4,1950,59.0,683,170.0,228.0,163231.27,64.35,64.35,82.72,476.11,26.71,2321,0,Fast AC,10.09,350.84,9.03,24.21,172.62,458.3,44.14,34.05,3.64,0,14,13.31,0.09,Normal,68.08,0,140.26,247.15,Bangalore,Hyderabad,City,Medium,88.9,8.06,17,35.44,18.35,58.64,Rainy,17.03,Wet,0,0,Winter,Good,0,153,36.85,92.0,46.48,40.61,5,118.66,Running,2025-10-25 01:28:07,1,Saturday,1,10,4,1,12.07,125.07,0
EV_0018,DRV_009,TRIP_001291,Mahindra,XEV 9S,2021,5,2150,79.0,679,210.0,282.0,243618.07,59.15,59.15,79.23,418.63,37.61,2692,0,Slow AC,4.64,1021.55,6.89,12.93,172.54,418.99,26.25,25.26,0.51,11,3,8.12,0.41,Normal,71.97,0,74.94,178.0,Chennai,Hyderabad,City,Medium,1354.51,8.73,8,86.01,30.52,75.99,Sunny,41.02,Good,1,0,Summer,Good,0,342,34.54,73.5,42.8,41.91,1,18.25,Running,2025-05-20 14:50:06,14,Tuesday,0,5,2,1,15.07,417.3,0
EV_0001,DRV_010,TRIP_001292,Tata,Harrier EV,2022,4,2300,75.0,622,175.0,390.0,34853.92,20.74,20.74,87.12,730.43,38.95,1220,1,Fast AC,7.3,616.44,0.13,12.96,192.89,120.38,21.64,21.0,4.34,18,5,11.03,0.68,Eco,43.48,0,67.19,191.97,Pune,Bangalore,City,Medium,1593.59,9.56,6,66.82,33.94,48.89,Rainy,30.35,Wet,1,0,Winter,Good,0,131,27.5,65.0,51.43,50.9,7,161.78,Running,2025-02-18 18:28:25,18,Tuesday,0,2,1,1,19.22,488.59,0
EV_0006,DRV_007,TRIP_001293,MG,Windsor EV,2022,4,1800,52.9,449,100.0,134.0,3314.43,91.96,91.96,82.75,586.78,33.89,2313,1,Fast AC,20.31,156.28,6.14,1.15,217.64,341.49,125.18,109.61,1.32,20,14,81.74,0.61,Normal,35.04,1,5.29,2.9,Kochi,Kochi,Highway,High,39.81,0.77,0,91.16,27.09,81.12,Sunny,17.89,Good,0,0,Monsoon,Warning,0,152,28.58,62.0,40.27,38.19,8,119.84,Running,2026-09-05 20:51:16,20,Saturday,1,9,3,1,21.81,12.56,0
EV_0012,DRV_010,TRIP_001294,Tata,Punch EV,2023,3,1300,40.0,350,95.0,127.0,232133.0,65.06,65.06,84.54,594.16,39.98,2365,0,Slow AC,5.28,454.55,3.8,21.71,128.55,318.85,38.79,30.74,7.72,3,9,19.75,0.19,Sport,57.34,0,168.85,329.57,Hyderabad,Mumbai,City,Medium,1179.58,0.81,6,35.78,31.42,52.62,Rainy,38.77,Wet,1,0,Winter,Good,0,159,32.3,89.5,55.91,53.21,8,17.3,Running,2026-01-29 23:11:03,23,Thursday,0,1,1,1,13.99,158.82,0
EV_0007,DRV_003,TRIP_001295,Tata,Punch EV,2022,4,1300,40.0,350,95.0,127.0,147198.92,91.07,91.07,89.49,404.19,36.07,628,0,Slow AC,6.47,370.94,4.25,0.48,149.26,384.39,86.87,86.49,4.55,13,12,7.49,0.86,Normal,42.35,1,3.19,2.21,Mumbai,Hyderabad,Highway,Medium,1322.04,2.6,4,43.97,25.09,80.19,Sunny,18.43,Good,0,0,Monsoon,Good,0,29,39.55,72.5,41.65,45.03,8,125.85,Running,2025-07-14 03:56:42,3,Monday,0,7,3,1,17.5,33.12,0
EV_0001,DRV_009,TRIP_001296,Tata,Curvv EV,2025,1,1500,55.0,502,123.0,165.0,189161.32,65.97,65.97,90.96,456.69,38.15,1760,0,Fast AC,13.09,252.1,9.24,42.29,135.19,440.94,30.33,24.39,7.08,0,14,4.43,0.29,Normal,57.76,0,312.84,769.59,Kochi,Bangalore,City,Low,1039.69,14.01,16,10.41,32.37,93.89,Cloudy,5.6,Good,1,0,Summer,Good,0,159,31.52,98.0,53.15,52.83,3,10.54,Running,2026-04-30 05:38:36,5,Thursday,0,4,2,1,5.51,85.79,0
EV_0008,DRV_009,TRIP_001297,Tata,Harrier EV,2021,5,2300,75.0,622,175.0,390.0,116930.04,20.41,20.41,81.28,516.72,41.43,2180,0,Fast AC,19.0,236.84,12.78,4.11,240.92,94.85,99.55,91.5,7.26,4,0,55.21,0.6,Eco,70.22,1,17.08,11.2,Pune,Pune,Highway,High,1864.1,11.61,2,84.24,32.34,67.92,Sunny,30.25,Good,1,0,Monsoon,Good,0,177,33.0,84.0,55.35,45.89,0,120.36,Garage,2026-09-14 08:01:27,8,Monday,0,9,3,1,11.18,188.5,0
EV_0004,DRV_003,TRIP_001298,Tata,Punch EV,2018,8,1300,40.0,350,95.0,127.0,148856.37,74.1,74.1,74.8,362.32,41.96,2299,0,DC Fast,308.17,7.79,7.48,30.02,197.6,236.25,123.48,91.43,1.32,4,12,82.06,0.7,Normal,70.04,1,151.9,99.68,Kochi,Pune,Highway,High,255.31,10.92,4,25.74,33.5,74.86,Stormy,1.16,Damaged,1,0,Winter,Good,0,279,26.19,78.0,52.12,50.93,5,89.39,Running,2026-12-13 20:37:01,20,Sunday,1,12,4,1,19.55,2.02,0
EV_0014,DRV_005,TRIP_001299,Tata,Punch EV,2023,3,1300,40.0,350,95.0,127.0,37785.19,7.6,7.6,87.14,569.28,32.62,1716,1,Slow AC,3.71,646.9,14.92,14.01,120.73,39.66,49.95,35.69,4.37,20,2,46.85,0.49,Normal,43.89,0,116.03,195.06,Kochi,Kochi,City,High,2446.96,6.5,18,45.58,29.56,93.53,Sunny,28.53,Good,0,0,Summer,Good,0,288,27.77,64.0,43.3,43.02,0,69.02,Running,2025-04-06 20:02:50,20,Sunday,1,4,2,0,13.71,597.74,0
EV_0014,DRV_002,TRIP_001300,Tata,Punch EV,2023,3,1300,40.0,350,95.0,127.0,11727.63,78.34,78.34,91.83,503.37,45.63,542,0,Fast AC,17.76,135.14,5.87,107.87,196.96,250.58,120.93,101.25,1.88,8,6,15.73,0.23,Normal,69.36,1,547.68,324.55,Hyderabad,Pune,Highway,Medium,922.3,0.82,2,13.02,32.13,66.86,Cloudy,39.35,Good,1,0,Winter,Good,0,278,37.17,82.0,56.83,57.7,6,59.04,Running,2026-11-20 05:18:19,5,Friday,0,11,4,0,12.54,29.27,0
EV_0019,DRV_005,TRIP_001301,MG,ZS EV,2020,6,1540,50.3,461,129.0,174.33,113193.1,57.97,57.97,79.66,317.31,46.66,2009,0,Fast AC,11.55,261.3,1.91,1.81,165.22,291.15,53.43,48.26,1.26,7,0,22.33,0.9,Normal,82.22,0,10.95,13.61,Chennai,Chennai,City,High,736.98,13.56,5,41.15,36.54,77.96,Cloudy,12.18,Good,1,0,Monsoon,Warning,0,264,31.19,77.5,55.59,56.25,10,156.08,Running,2026-06-06 09:53:58,9,Saturday,1,6,2,1,21.21,109.82,0
EV_0013,DRV_007,TRIP_001302,MG,Comet EV,2026,0,815,17.3,230,41.42,41.42,32088.12,68.36,68.36,96.49,592.37,35.46,877,0,Slow AC,4.6,225.65,11.84,6.19,74.71,283.01,27.93,21.77,1.77,2,2,13.62,0.96,Normal,87.69,0,82.91,228.51,Bangalore,Kochi,City,Medium,1225.4,0.5,17,28.6,28.4,71.0,Sunny,47.0,Good,0,0,Summer,Good,0,172,34.51,97.0,40.96,50.08,9,36.29,Running,2025-03-06 02:00:28,2,Thursday,0,3,1,1,8.38,71.4,0
EV_0001,DRV_001,TRIP_001303,Tata,Curvv EV,2019,7,1500,55.0,502,123.0,165.0,216382.81,59.06,59.06,81.0,585.84,40.76,1250,1,Fast AC,17.04,193.66,14.8,9.17,191.3,278.97,88.23,80.79,3.25,20,2,0.68,0.07,Normal,47.25,0,47.93,35.6,Chennai,Delhi,Mixed,Low,48.66,10.06,5,38.84,32.28,72.03,Sunny,48.48,Good,1,0,Summer,Warning,0,28,36.95,56.0,56.69,50.82,5,82.48,Garage,2025-03-09 13:39:37,13,Sunday,1,3,1,1,23.0,79.28,0
EV_0006,DRV_009,TRIP_001304,Mahindra,BE 6,2020,6,1950,59.0,683,170.0,228.0,81479.82,62.83,67.83,86.98,743.27,33.17,256,1,Slow AC,5.24,675.57,14.76,0.53,193.29,431.43,72.23,62.44,0.57,11,7,16.5,0.36,Sport,65.79,0,2.76,2.65,Coimbatore,Kochi,Mixed,Medium,791.38,14.21,5,42.72,22.65,78.56,Sunny,38.45,Good,0,0,Monsoon,Good,0,139,33.19,71.5,49.46,40.76,4,34.21,Running,2025-07-20 21:12:24,21,Sunday,1,7,3,1,16.38,217.33,1
EV_0015,DRV_008,TRIP_001305,MG,ZS EV,2018,8,1540,50.3,461,129.0,174.33,102079.64,79.48,79.48,72.1,477.8,34.01,2975,0,Fast AC,20.27,148.89,7.45,5.39,144.66,455.91,42.03,40.99,7.9,14,4,3.12,0.15,Sport,42.3,0,37.28,54.57,Kochi,Mumbai,Mixed,Low,313.16,9.77,5,67.16,28.63,87.39,Sunny,56.92,Good,0,0,Monsoon,Warning,0,211,38.78,63.0,51.85,45.32,6,30.59,Running,2026-09-06 10:14:56,10,Sunday,1,9,3,1,24.73,30.55,0
EV_0020,DRV_003,TRIP_001306,Tata,Punch EV,2025,1,1300,40.0,350,95.0,127.0,238850.83,50.36,50.36,91.5,762.01,37.54,1624,0,Fast AC,11.59,207.08,8.75,0.5,186.0,170.57,115.37,91.9,1.04,1,5,11.13,0.91,Normal,87.38,1,2.71,1.77,Bangalore,Coimbatore,Highway,Medium,1787.07,11.77,4,85.06,26.52,59.09,Cloudy,22.76,Good,0,0,Winter,Good,0,35,25.35,96.5,48.56,41.17,9,16.67,Garage,2025-12-19 00:42:30,0,Friday,0,12,4,1,10.25,102.79,0
EV_0009,DRV_001,TRIP_001307,Tata,Punch EV,2021,5,1300,40.0,350,95.0,127.0,62751.37,81.45,81.45,85.7,508.94,44.74,862,0,Slow AC,6.36,377.36,0.48,7.61,132.57,387.07,46.04,37.33,6.71,6,14,30.28,0.91,Sport,46.87,0,57.44,92.32,Delhi,Bangalore,Mixed,High,701.55,5.48,1,1.68,39.24,46.35,Sunny,11.28,Good,1,0,Winter,Good,0,68,28.4,81.0,51.29,48.28,1,27.46,Running,2026-02-11 19:04:39,19,Wednesday,0,2,1,1,11.57,70.0,0
EV_0011,DRV_006,TRIP_001308,MG,ZS EV,2019,7,1540,50.3,461,129.0,174.33,36173.59,65.45,65.45,78.15,579.93,37.44,1963,0,Slow AC,3.06,986.27,14.23,0.22,185.01,293.55,94.63,70.66,3.24,17,2,85.44,0.65,Normal,53.28,1,1.18,1.0,Pune,Kochi,Highway,High,2063.9,4.54,3,38.63,27.34,51.28,Stormy,0.93,Damaged,0,0,Monsoon,Good,0,105,25.96,60.5,55.43,45.43,0,175.6,Running,2025-06-25 07:22:37,7,Wednesday,0,6,2,1,18.84,340.76,0
EV_0006,DRV_002,TRIP_001309,Tata,Punch EV,2024,2,1300,40.0,350,95.0,127.0,201669.94,57.76,57.76,93.96,719.19,43.38,511,0,Fast AC,8.7,275.86,6.28,2.37,181.8,200.16,98.24,71.21,1.66,7,13,50.67,0.56,Sport,61.52,1,13.01,10.96,Mumbai,Chennai,Highway,High,1393.3,1.03,1,22.02,32.12,83.81,Rainy,40.08,Wet,1,0,Summer,Good,0,343,32.47,85.5,59.77,46.59,8,89.41,Garage,2025-03-22 21:57:06,21,Saturday,1,3,1,1,12.14,116.52,0
EV_0015,DRV_008,TRIP_001310,MG,Comet EV,2019,7,815,17.3,230,41.42,41.42,121818.17,43.47,43.47,82.68,373.43,35.4,829,0,Slow AC,6.9,150.43,11.39,0.96,81.66,179.97,41.87,34.61,4.22,6,14,11.72,0.55,Eco,54.34,0,11.81,20.47,Pune,Kochi,City,Medium,1694.7,13.62,9,17.92,26.32,42.8,Sunny,25.6,Good,0,0,Monsoon,Warning,0,280,30.07,77.0,55.19,48.71,10,179.07,Garage,2026-07-14 20:52:41,20,Tuesday,0,7,3,1,21.08,85.04,0
EV_0009,DRV_010,TRIP_001311,Mahindra,XEV 9S,2020,6,2150,79.0,679,210.0,282.0,3965.93,66.41,66.41,81.32,398.94,27.98,1670,0,DC Fast,209.22,22.66,6.23,2.22,168.51,481.67,36.94,29.72,1.93,9,1,19.87,0.57,Sport,74.71,0,13.2,26.65,Pune,Chennai,City,Medium,1105.84,8.42,11,50.94,20.71,63.52,Rainy,11.53,Wet,0,0,Winter,Good,0,142,27.8,74.5,46.58,39.16,6,18.37,Running,2025-02-20 06:08:31,6,Thursday,0,2,1,1,18.55,7.61,0
EV_0002,DRV_004,TRIP_001312,MG,Windsor EV,2024,2,1800,52.9,449,100.0,134.0,154932.0,77.41,77.41,88.1,684.64,34.94,1976,0,Fast AC,9.53,333.05,5.21,32.75,175.7,356.08,79.37,71.68,4.76,17,3,39.37,0.71,Sport,47.22,0,186.39,156.02,Delhi,Bangalore,Mixed,High,1190.38,11.72,1,0.56,27.39,79.39,Cloudy,35.7,Good,0,0,Summer,Good,0,256,28.01,70.5,46.31,41.9,7,106.9,Running,2026-04-08 07:27:35,7,Wednesday,0,4,2,1,16.6,75.24,0
EV_0006,DRV_003,TRIP_001313,Tata,Punch EV,2025,1,1300,40.0,350,95.0,127.0,99521.15,82.87,82.87,88.15,674.8,38.68,2462,1,Slow AC,6.84,350.88,1.09,1.41,139.84,373.34,64.12,51.88,4.31,17,5,4.21,0.08,Normal,45.57,0,10.06,11.63,Mumbai,Bangalore,Mixed,Low,1180.84,2.84,0,4.46,27.77,68.2,Sunny,1.5,Good,0,0,Summer,Good,0,100,31.56,72.5,58.38,41.8,10,73.37,Running,2025-03-18 00:30:36,0,Tuesday,0,3,1,1,17.84,60.11,0
EV_0014,DRV_003,TRIP_001314,Mahindra,XEV 9S,2025,1,2150,79.0,679,210.0,282.0,56469.4,56.1,56.1,93.97,446.55,35.1,1007,0,Fast AC,21.99,215.55,10.07,2.49,175.27,391.2,43.85,43.01,4.18,13,7,13.6,0.88,Normal,50.96,0,14.22,19.84,Pune,Coimbatore,City,Medium,1185.85,1.22,39,14.1,26.97,49.04,Foggy,32.62,Wet,0,0,Monsoon,Good,0,59,33.4,78.5,44.43,40.82,3,118.05,Running,2026-08-10 19:53:01,19,Monday,0,8,3,1,9.63,94.63,0
EV_0006,DRV_009,TRIP_001315,Mahindra,XEV 9S,2023,3,2150,79.0,679,210.0,282.0,10168.04,68.63,68.63,90.05,720.56,36.49,987,0,Slow AC,3.77,1257.29,6.59,4.15,184.41,454.85,54.32,45.6,6.59,18,14,4.28,0.16,Normal,23.23,0,22.52,29.63,Kochi,Chennai,Mixed,Low,1793.51,13.88,5,50.88,27.5,91.53,Cloudy,2.72,Good,0,0,Winter,Good,0,253,33.07,67.0,48.71,51.11,0,15.71,Running,2026-11-29 11:35:38,11,Sunday,1,11,4,1,12.24,394.41,0
EV_0019,DRV_009,TRIP_001316,Tata,Punch EV,2025,1,1300,40.0,350,95.0,127.0,21175.36,24.13,24.13,89.96,735.04,34.95,2009,1,DC Fast,67.54,35.53,3.2,13.55,96.02,152.02,29.98,22.18,3.11,1,12,15.45,0.95,Eco,70.67,0,141.09,381.67,Kochi,Bangalore,City,Medium,1831.58,8.59,36,59.1,28.9,84.28,Cloudy,23.82,Good,0,0,Winter,Good,0,208,25.53,96.5,45.85,42.24,3,19.73,Running,2026-10-14 15:36:29,15,Wednesday,0,10,4,1,6.14,26.96,0
EV_0005,DRV_001,TRIP_001317,MG,Windsor EV,2019,7,1800,52.9,449,100.0,134.0,167314.87,15.66,15.66,75.01,662.75,35.29,2748,1,Fast AC,16.26,195.2,5.13,17.79,239.8,52.78,133.23,102.17,6.69,5,5,2.14,0.96,Eco,62.43,1,74.17,43.56,Kochi,Mumbai,Highway,Low,142.43,0.59,1,0.51,26.48,88.98,Sunny,27.83,Good,0,0,Winter,Warning,0,179,34.87,78.5,40.4,46.25,10,182.69,Running,2026-01-09 00:04:55,0,Friday,0,1,1,0,22.62,164.63,0
EV_0006,DRV_002,TRIP_001318,MG,Comet EV,2026,0,815,17.3,230,41.42,41.42,101202.18,60.35,60.35,91.97,305.02,47.69,1882,1,DC Fast,254.32,4.08,9.3,15.56,120.86,206.73,57.85,50.21,3.03,3,8,10.5,0.93,Sport,72.91,0,128.72,153.82,Chennai,Pune,City,Medium,1357.52,2.72,30,26.9,37.51,69.86,Rainy,41.57,Wet,1,0,Winter,Good,0,77,36.84,95.5,60.87,62.42,9,47.11,Running,2026-02-07 13:19:37,13,Saturday,1,2,1,1,9.88,1.62,0
